City_ID,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Waddan,29.1614,16.139,78.04,21,0,5.46,LY,2022-04-15 21:32:39
59,Gallup,35.5281,-108.7426,67.84,11,0,18.41,US,2022-04-15 21:32:39
60,Cape Town,-33.9258,18.4232,59.11,65,0,14.97,ZA,2022-04-15 21:32:40
61,Yulara,-25.2406,130.9889,71.44,37,43,5.75,AU,2022-04-15 21:32:40
62,Namikupa,-10.8333,39.6,70.97,99,63,2.48,TZ,2022-04-15 21:32:40
63,Pevek,69.7008,170.3133,14.02,89,29,2.53,RU,2022-04-15 21:32:41
64,Butaritari,3.0707,172.7902,81.14,74,67,8.59,KI,2022-04-15 21:32:41
65,Albany,42.6001,-73.9662,67.46,21,73,1.99,US,2022-04-15 21:29:37
66,Nanakuli,21.3906,-158.1547,82.35,57,100,12.66,US,2022-04-15 21:32:41
67,Tres Arroyos,-38.3739,-60.2798,57.51,61,0,8.14,AR,2022-04-15 21:32:42
68,Cidreira,-30.1811,-50.2056,63.97,66,42,7.94,BR,2022-04-15 21:32:42
69,Lavrentiya,65.5833,-171.0,29.66,94,100,17.67,RU,2022-04-15 21:32:42
70,Trinidad,-14.8333,-64.9,82.38,47,80,9.22,BO,2022-04-15 21:32:43
71,Srednekolymsk,67.45,153.6833,12.58,91,94,4.45,RU,2022-04-15 21:30:32
72,Walvis Bay,-22.9575,14.5053,58.15,82,0,2.3,NA,2022-04-15 21:32:43
73,Grand-Santi,4.25,-54.3833,74.08,97,100,1.52,GF,2022-04-15 21:32:44
74,Constantine,36.365,6.6147,53.01,93,75,3.44,DZ,2022-04-15 21:31:45
75,Colesberg,-30.72,25.0972,48.58,77,98,23.78,ZA,2022-04-15 21:32:44
76,Aguimes,27.9054,-15.4461,65.03,64,20,24.16,ES,2022-04-15 21:32:45
77,Salta,-24.7859,-65.4117,63.19,74,40,5.75,AR,2022-04-15 21:29:12
78,Manggar,-2.8833,108.2667,79.07,80,100,3.49,ID,2022-04-15 21:32:45
79,Kita,13.0349,-9.4895,93.43,14,64,4.54,ML,2022-04-15 21:32:45
80,San Andres,12.5847,-81.7006,86.02,66,20,14.97,CO,2022-04-15 21:32:46
81,Pisco,-13.7,-76.2167,69.85,73,0,21.85,PE,2022-04-15 21:32:46
82,Georgetown,5.4112,100.3354,80.55,89,40,3.44,MY,2022-04-15 21:31:49
83,Klaksvik,62.2266,-6.589,49.12,97,100,13.82,FO,2022-04-15 21:32:47
84,Kruisfontein,-34.0033,24.7314,54.88,73,100,6.49,ZA,2022-04-15 21:32:47
85,Murakami,38.2333,139.4833,48.09,94,100,4.34,JP,2022-04-15 21:32:48
86,Severo-Kurilsk,50.6789,156.125,31.6,78,71,2.04,RU,2022-04-15 21:32:48
87,Dikson,73.5069,80.5464,15.87,96,100,8.7,RU,2022-04-15 21:32:48
88,Arman,59.7,150.1667,21.76,70,100,6.08,RU,2022-04-15 21:32:49
89,Elko,41.0002,-115.5012,51.06,42,88,11.01,US,2022-04-15 21:32:49
90,San Cristobal,7.7669,-72.225,77.18,59,100,4.7,VE,2022-04-15 21:32:49
91,Sur,22.5667,59.5289,88.48,33,17,13.98,OM,2022-04-15 21:33:50
92,Khatanga,71.9667,102.5,17.91,83,100,13.09,RU,2022-04-15 21:33:50
93,Herat,34.5,62.0,60.6,41,83,15.75,AF,2022-04-15 21:32:23
